Country Name,GDP growth (annual %),GDP (constant 2015 US$),GDP per capita (constant 2015 US$),"Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)","Manufacturing, value added (% of GDP)","Services, value added (% of GDP)"
Suriname,-15.90795119,4417127638,7529.6141,8.194926081,35.23062081,22.04781895,53.12752588
Sweden,-2.948127879,5.34E+11,51539.56022,1.39431761,21.10991726,12.12338539,66.13834767
Switzerland,-2.392826042,7.40E+11,85681.96679,0.689423075,25.24567035,18.13983247,71.32120027
Tanzania,1.996343506,61522709092,1061.170346,26.73711127,28.67498481,8.503654014,36.25348281
Thailand,-6.098983843,4.33E+11,6198.414269,8.631139731,33.0988364,25.23632198,58.27002387
Timor-Leste,10.37185524,2093497569,1587.857159,15.43552035,25.4018491,1.736880997,55.20165845
Togo,1.752824967,5187639195,626.6220554,18.77664831,22.69990516,14.38103974,49.31518456
Tonga,0.654698596,489364573.4,4629.881391,17.65779842,14.7532057,5.614365195,51.2111576
Tunisia,-9.182372594,44681503990,3780.603112,10.0530772,21.68829519,13.54989904,60.99909077
Turkey,1.793551396,1.02E+12,12038.62811,6.680559663,28.01876826,19.12745884,54.20020366
Turks and Caicos Islands,-26.7828754,802388551,20723.91526,0.430680642,15.65289433,0.670464415,72.70380269
Uganda,2.951306422,40768765940,891.2959039,23.92903372,26.49052459,15.79525672,42.83800409
Ukraine,-4.000006101,97866338856,2344.363068,9.266235737,20.82713084,10.10056624,55.66776498
United Arab Emirates,-6.134500803,3.71E+11,37497.59259,0.918609463,40.86677045,9.683773433,58.21462009
United Kingdom,-9.396160006,2.89E+12,43020.20346,0.581795613,17.02490795,8.648937168,72.82140213
Uruguay,-5.858721243,52260972282,15044.64003,7.481413347,17.95109552,10.29680073,63.01105892
Uzbekistan,1.714770576,1.08E+11,3154.408224,25.10174902,31.56851557,19.39076454,35.9656865
Vietnam,2.905835584,2.59E+11,2655.767774,14.85316165,33.72410774,16.69613524,41.62527639
Zambia,-2.785055065,23418945737,1273.879558,2.977086346,40.25789898,7.715369781,53.61637699
Zimbabwe,-6.248748224,19426048166,1307.01363,7.607100619,35.81714496,18.43000193,49.89714023
